ゴトゴト,1,,,,,,,,1
互い違いに,1,,,,1,,,,
ぷかぷか,1,,,,,,,,1
しらっと,1,,,,,,,1,
キーキー,1,,,,,,,,1
ゴキュゴキュ,1,,,,,,,,1
ある限り,,1,,,,,,,1
キレキレ,1,,,,,,,,1
天然自然,1,,,,,,,,1
何,,,1,,1,,,,
晩冬,1,,,,,1,,,
時あたかも,1,,,,,,1,,
例年になく,1,,,,,,,,1
ひと時,1,,,,,1,,,
途上,1,,,,,,1,,
その他,,,1,,1,,,,
ちょっとやそっと,,1,,,,,,,1
なる程,,,1,,1,,,,
高が,,1,,,,,,,1
現に,,,1,,1,,,,
油断なく,1,,,,,,,1,
やむを得ず,1,,,,1,,,,
ふいと,1,,,,,,1,,
きちっと,1,,,,,,,,1
同様に,1,,,,,,,,1
カチッと,1,,,,,,,,1
けろけろ,,1,,,,,,,1
終,,1,,,,1,,,
各人,,1,,,,,1,,
やむ得ず,1,,,,1,,,,
何処かしら,,,1,,1,,,,
ちょっくら,,1,,,,,,,1
ハフハフ,1,,,,,,,,1
１人あたり,1,,,,,,1,,
幸いにも,1,,,,,,,1,
年までに,1,,,,,1,,,
ぷるぷる,1,,,,,,,,1
ガリッと,1,,,,,,,,1
真っ当,,1,,,,,,1,
畢竟,,,1,,,1,,,
時節柄,,,1,,,,1,,
将来,1,,,,,1,,,
木の下闇,1,,,,,,,,1
何時でも,1,,,,,,1,,
さらっと,1,,,,,,,,1
終了後,1,,,,,1,,,
再び,1,,,,,,1,,
日常,1,,,,,,1,,
規則通り,1,,,,1,,,,
実質上,1,,,,,,,,1
がたっと,1,,,,,,,,1
一両日中,1,,,,,,1,,
ケロケロ,1,,,,,,,,1
他日,1,,,,,,1,,
ポロっと,1,,,,,,,,1
ねっとり,1,,,,,,,,1
又,,,1,,,,1,,
代々,1,,,,,,1,,
早よ,1,,,,,,1,,
旧年,1,,,,,1,,,
元気いっぱい,1,,,,,,,1,
見るも,,,1,,1,,,,
医者通い,1,,,,,,,,1
ぐしゃぐしゃ,1,,,,,,,,1
すっぱり,,1,,,,,,,1
ガシッと,1,,,,,,,,1
どばどば,,1,,,,,,,1
些とも,,1,,,,,1,,
漸く,,1,,,,,1,,
からり,1,,,,,,,,1
ミアリー,,1,,,,,,,1
取りあえず,,,1,,1,,,,
ちっとやそっと,,1,,,,,,,1
そよそよ,1,,,,,,,,1
ぐじゃぐじゃ,1,,,,,,,,1
ニヤニヤ,1,,,,,,,1,
暗々のうちに,1,,,,1,,,,
ひょっとすると,,,1,,1,,,,
こちゃこちゃ,1,,,,,,,,1
大略,,1,,,,,1,,
キーン,1,,,,,,,,1
もじゃもじゃ,1,,,,,,,,1
毎春,1,,,,,,1,,
おいそれと,,,1,,,,,1,
群々,1,,,,,,,1,
ヒーヒー,1,,,,,,,1,
へどもど,1,,,,,,,1,
共に,1,,,,,,,,1
大変,,1,,,,,,,1
事ごとに,,1,,,1,,,,
可及的速やかに,,,1,,,,1,,
唯に,,1,,,,,,,1
何条,,,1,,,,1,,
一躍,1,,,,,,,,1
しゃあしゃあ,1,,,,,,,1,
纔,,1,,,,,,,1
五分,1,,,,,,1,,
一遍,,1,,,,,1,,
向後,1,,,,,1,,,
びっくら,1,,,,,,,1,
又もや,,,1,,,,1,,
優れて,1,,,,,,,1,
日暮らし,1,,,,,,1,,
軽々,,1,,,,,,,1
尽日,1,,,,,,1,,
彼是,,,1,,,,1,,
然も,,1,,,,,,,1
日ごと夜ごと,1,,,,,,1,,
況してや,,,1,,1,,,,
ずらっと,1,,,,,,,,1
善かれ悪しかれ,,,1,,,,1,,
達て,,,1,,,,,1,
にょっきり,1,,,,,,,,1
昨朝,1,,,,,1,,,
其れなり,1,,,,,,1,,
うじゃうじゃ,,1,,,,,,,1
メロメロ,1,,,,,,,1,
ぽっきり,1,,,,,,,,1
次第次第に,,1,,,,,1,,
ビシバシ,1,,,,,,,1,
プリプリ,1,,,,,,,,1
心覚えに,,,1,,1,,,,
矢っ張り,,,1,,1,,,,
如何,,,1,,1,,,,
せずに,1,,,,,,,,1
余計,,1,,,,,,,1
脆くも,1,,,,,,,,1
吃驚,1,,,,,,,1,
ペリペリ,1,,,,,,,,1
特別,1,,,,,,,,1
口荒く,1,,,,,,,1,
恨むらくは,,,1,,1,,,,
大挙,,1,,,,,,,1
冴え冴え,1,,,,,,,,1
己と,1,,,,,,,,1
更に,1,,,,1,,,,
パシャッと,1,,,,,,,,1
げんなり,1,,,,,,,1,
さっくり,1,,,,,,,,1
グラッと,1,,,,,,,,1
正しく,,1,,,,,,,1
唖々,1,,,,,,,,1
及ばずながら,,,1,,1,,,,
後,1,,,,,1,,,
何処からともなく,,,1,,1,,,,
幾度,,1,,,1,,,,
あんまし,,1,,,,,1,,
がっぷり,1,,,,,,,,1
ちいと,,1,,,,,1,,
その上,,,1,,1,,,,
一度に,1,,,,,,1,,
今時分,1,,,,,1,,,
逐一,,1,,,,,,,1
八九分,,1,,,,,,,1
しんみり,1,,,,,,,1,
ぴょこん,1,,,,,,,1,
直と,1,,,,,,,,1
びらびら,1,,,,,,,,1
ヌルヌル,1,,,,,,,,1
１８０度,,,1,,,,,,1
寸寸,1,,,,,,,,1
カサカサ,1,,,,,,,,1
にたっと,1,,,,,,,1,
今日日,1,,,,,1,,,
とっぷり,,1,,,,,,,1
じめじめ,1,,,,,,,1,
読んで字のごとく,,,1,,1,,,,
一に,,1,,,,,,,1
即席に,1,,,,,,1,,
夜露死苦,,,1,,1,,,,
初に,1,,,,,,1,,
長年,1,,,,,,1,,
とくとく,1,,,,,,,,1
フルに,,1,,,,,,,1
先週,1,,,,,1,,,
しゅー,1,,,,,,,,1
どの位,,1,,,1,,,,
可惜,,,1,,1,,,,
即夜,1,,,,,1,,,
次第に,1,,,,,,1,,
カスカス,1,,,,,,,,1
昨春,1,,,,,1,,,
バラバラ,1,,,,,,,,1
半夜,1,,,,,,1,,
長い間,1,,,,,,1,,
ムスっと,1,,,,,,,1,
ひょろひょろ,1,,,,,,,1,
ガラリ,,1,,,,,,,1
今週中に,1,,,,,,1,,
二つずつ,1,,,,,,1,,
夜遅く,1,,,,,,1,,
ギリチョン,1,,,,,,1,,
挙句,,,1,,1,,,,
ビリッと,1,,,,,,,,1
ここの所,,,1,,,,1,,
間断なく,1,,,,,,1,,
きらっと,1,,,,,,,,1
後々,1,,,,,1,,,
夜分,1,,,,,1,,,
巡り巡って,1,,,,,,,,1
日に日に,1,,,,,,1,,
只今,,,1,,,1,,,
ねとねと,1,,,,,,,,1
輓近,1,,,,,1,,,
ゴツン,1,,,,,,,,1
きびきび,1,,,,,,,,1
くしゃくしゃ,1,,,,,,,,1
泣く泣く,1,,,,,,,1,
不意に,1,,,,,,1,,
恐らくは,,,1,,1,,,,
早かれ遅かれ,,,1,,,,1,,
再三,,1,,,,,1,,
どっかと,1,,,,,,,,1
生まれながら,,,1,,,,,,1
ついつい,,,1,,,,,1,
頓に,,,1,,,,1,,
累世,1,,,,,,,,1
今年中に,1,,,,,1,,,
ぎゅう,1,,,,,,,,1
ものの見事に,,,1,,,,,,1
ぐしゃり,1,,,,,,,,1
とまれかくまれ,,,1,,1,,,,
アシュアリッドリ,1,,,,,,,1,
さめざめ,1,,,,,,,1,
ぴしゃり,1,,,,,,,,1
恐々,1,,,,,,,1,
びしびし,1,,,,,,,1,
仮初めにも,,1,,,,,1,,
温々,1,,,,,,,,1
噂通り,,,1,,1,,,,
一瞬,1,,,,,,1,,
明春,1,,,,,1,,,
酷く,,1,,,,,,,1
がっちり,1,,,,,,,,1
当年,1,,,,,1,,,
名目上,,,1,,,,1,,
この際,,,1,,,1,,,
本初,1,,,,,,1,,
そぼそぼ,1,,,,,,,,1
adverb,status,degree,declarative,,mood,tense,aspect,voice,objects
,Yamada_1936,,,,Noda_1984,,,,
